,Asuminen,Palvelut,t
2022-01-04 16:00:00,885.1963482291792,2299.996796048786,-3185.193144277965
2022-01-04 17:00:00,933.5897704558314,2223.8739706476445,-3157.463741103476
2022-01-04 18:00:00,925.5242000847227,2234.7486599906647,-3160.272860075387
2022-01-04 19:00:00,943.6717334197172,2147.7511452465023,-3091.4228786662197
2022-01-04 20:00:00,927.5405926774997,2049.8789411593198,-2977.4195338368195
2022-01-04 21:00:00,875.1143852652933,2011.817528458749,-2886.9319137240423
2022-01-04 22:00:00,836.802926002527,1832.3851542989148,-2669.188080301442
2022-01-04 23:00:00,621.0489185753695,1767.1370182407934,-2388.185936816163
2022-01-05 00:00:00,501.2230688523075,1608.6813749556543,-2109.904443807962
2022-01-05 01:00:00,514.6658331510284,1644.2043075256527,-2158.8701406766813
2022-01-05 02:00:00,520.4270178504802,1750.7731052356492,-2271.200123086129
2022-01-05 03:00:00,560.7553107466429,1831.9683796813601,-2392.723690428003
2022-01-05 04:00:00,689.4217690344,2283.617093785629,-2973.038862820029
2022-01-05 05:00:00,979.4013989068077,2648.9958287913296,-3628.397227698137
2022-01-05 06:00:00,956.3566601090005,2775.8634451127537,-3732.2201052217542
2022-01-05 07:00:00,898.7448131144824,2816.461082335609,-3715.2058954500912
2022-01-05 08:00:00,921.7895519122897,2628.697010179902,-3550.486562092192
2022-01-05 09:00:00,912.1875774132033,2476.455870594193,-3388.6434480073963
2022-01-05 10:00:00,889.142838615396,2385.111186842768,-3274.254025458164
2022-01-05 11:00:00,866.0980998175888,2278.5423891327723,-3144.640488950361
2022-01-05 12:00:00,862.2573100179543,2192.272410034204,-3054.529720052158
2022-01-05 13:00:00,843.0533610197816,2161.824182117062,-3004.8775431368435
2022-01-05 14:00:00,841.1329661199643,2166.898886769919,-3008.0318528898833
2022-01-05 15:00:00,850.7349406190506,2131.3759541999207,-2982.1108948189712
2022-01-05 16:00:00,885.3020488157615,2156.7494774642055,-3042.051526279967
2022-01-05 17:00:00,912.1875774132033,2106.002430935636,-3018.190008348839
2022-01-05 18:00:00,923.7099468121069,2085.703612324208,-3009.4135591363147
2022-01-05 19:00:00,916.0283672128378,1994.3589285727826,-2910.38729578562
2022-01-05 20:00:00,887.2224437155787,1847.192493639931,-2734.4149373555097
2022-01-05 21:00:00,812.3270426227052,1674.6525354427947,-2486.9795780655
2022-01-05 22:00:00,731.67045683038,1552.8596237742279,-2284.530080604608
2022-01-05 23:00:00,535.7901770490183,1542.7102144685139,-2078.500391517532
2022-01-06 00:00:00,579.365350011372,1818.6442481672912,-2398.009598178663
2022-01-06 01:00:00,577.3466554120293,1828.5821948785876,-2405.928850290617
2022-01-06 02:00:00,573.3092662133438,1903.1167952133128,-2476.426061426657
2022-01-06 03:00:00,595.5149068061141,1947.8375554141476,-2543.3524622202617
2022-01-06 04:00:00,724.7113611640508,2459.6418110459267,-3184.3531722099774
2022-01-06 05:00:00,1128.4502810326026,2385.1072107112013,-3513.557491743804
2022-01-06 06:00:00,1043.665107860207,2355.293370577311,-3398.9584784375184
2022-01-06 07:00:00,920.5247373002985,2226.1000633304548,-3146.6248006307533
2022-01-06 08:00:00,932.6369048963551,2136.6585429287843,-3069.2954478251395
2022-01-06 09:00:00,914.4686535022702,2047.2170225271145,-2961.685676029385
2022-01-06 10:00:00,868.0386777173867,2136.6585429287843,-3004.697220646171
2022-01-06 11:00:00,896.3004021081854,2017.4031823932246,-2913.7035845014098
2022-01-06 12:00:00,878.1321507141005,1997.5272889706312,-2875.6594396847318
2022-01-06 13:00:00,866.019983118044,1992.5583156149828,-2858.5782987330267
2022-01-06 14:00:00,855.9265101213302,2047.2170225271145,-2903.1435326484448
2022-01-06 15:00:00,872.0760669160723,2052.185995882763,-2924.2620627988354
2022-01-06 16:00:00,886.2069291114716,2116.7826495061913,-3002.989578617663
2022-01-06 17:00:00,934.6555994956979,2116.7826495061913,-3051.4382490018893
2022-01-06 18:00:00,926.5808210983269,2131.6895695731364,-3058.2703906714632
2022-01-06 19:00:00,944.7490724924116,2121.7516228618397,-3066.5006953542515
2022-01-06 20:00:00,928.5995156976695,2161.503409707026,-3090.1029254046957
2022-01-06 21:00:00,876.1134561147578,1987.5893422593347,-2863.7027983740927
2022-01-06 22:00:00,837.7582587272453,1903.1167952133128,-2740.8750539405582
2022-01-06 23:00:00,621.75793659757,1813.6752748116426,-2435.4332114092126
2022-01-07 00:00:00,608.7922500694222,1882.6547280656007,-2491.4469781350226
2022-01-07 01:00:00,606.6710227172639,1905.2691992735959,-2511.9402219908598
2022-01-07 02:00:00,602.4285680129475,1990.0734663035778,-2592.502034316525
2022-01-07 03:00:00,625.7620688866882,1990.0734663035778,-2615.835535190266
2022-01-07 04:00:00,761.5206194248174,2425.4020370574854,-3186.922656482303
2022-01-07 05:00:00,1185.7660898564704,2968.1493460493703,-4153.915435905841
2022-01-07 06:00:00,1096.6745410658232,3013.3782884653606,-4110.052829531183
2022-01-07 07:00:00,967.2796725841691,2979.4565816533677,-3946.7362542375367
2022-01-07 08:00:00,980.0070366971186,2809.848047593404,-3789.8550842905224
2022-01-07 09:00:00,960.9159905276942,2640.2395135334395,-3601.155504061134
2022-01-07 10:00:00,912.1277614280541,2566.742482107456,-3478.87024353551
